id,name,ingredients,steps,diet,calories,time
1,Classic Tomato Pasta,"chicken breast, cheese, ginger, oil, onion, pasta, salt, tomato","Step 1: cook the ginger. Step 2: Add chicken breast and cook. Step 3: cut and serve.",nonveg,470,35
2,Tofu Scramble,"cheese, egg, flour, garlic, oil, onion, pepper, salt","Step 1: slice the oil. Step 2: Add onion and cook. Step 3: mix and serve.",veg,574,40
3,Lamb Korma,"coriander, garlic, lamb cubes, oil, onion, pepper, salt, turmeric","Step 1: mix the coriander. Step 2: Add garlic and cook. Step 3: bake and serve.",nonveg,620,45
4,Vegetable Curry,"flour, ginger, oil, onion, pasta, pepper, salt, tomato","Step 1: chop the flour. Step 2: Add ginger and cook. Step 3: boil and serve.",veg,490,20
5,Spinach and Feta Quiche,"chicken, cumin, egg, ginger, salt, sugar, turmeric","Step 1: slice the cumin. Step 2: Add egg and cook. Step 3: boil and serve.",nonveg,636,30
6,Pork Chops with Apples,"carrot, cumin, egg, flour, ginger, salt, turmeric","Step 1: fry the egg. Step 2: Add ginger and cook. Step 3: cook and serve.",nonveg,416,40
7,Tofu Scramble,"butter, garlic, oil, onion, peas, salt, shrimp, sugar","Step 1: simmer the butter. Step 2: Add garlic and cook. Step 3: steam and serve.",nonveg,793,30
8,Potato Salad,"carrot, cheese, garlic, lamb cubes, salt, sugar","Step 1: cut the salt. Step 2: Add garlic and cook. Step 3: fry and serve.",nonveg,618,25
9,Chicken Noodle Soup,"cheese, chicken, flour, garlic, ginger, oil, salt, tomato","Step 1: chop the ginger. Step 2: Add garlic and cook. Step 3: chop and serve.",nonveg,736,25
10,Turkey Chili,"chicken, cumin, ginger, pepper, salt, tomato, turkey","Step 1: simmer the pepper. Step 2: Add tomato and cook. Step 3: slice and serve.",nonveg,778,60
11,Apple Pie,"butter, cheese, egg, flour, milk, onion, sugar, turmeric","Step 1: chop the turmeric. Step 2: Add flour and cook. Step 3: cook and serve.",veg,553,30
12,Baked Salmon with Asparagus,"carrot, cheese, coriander, egg, flour, garlic, oil, salt","Step 1: boil the coriander. Step 2: Add cheese and cook. Step 3: simmer and serve.",nonveg,664,45
13,Baked Salmon with Asparagus,"butter, cheese, egg, oil, salmon, salt, sugar, turmeric","Step 1: mix the salmon. Step 2: Add turmeric and cook. Step 3: slice and serve.",nonveg,788,60
14,Tuna Salad Sandwich,"butter, egg, ginger, oil, salt, sugar, tomato, turmeric","Step 1: chop the turmeric. Step 2: Add butter and cook. Step 3: fry and serve.",nonveg,570,35
15,Quinoa Salad,"cumin, flour, garlic, ginger, oil, onion, pepper, salt","Step 1: fry the salt. Step 2: Add garlic and cook. Step 3: boil and serve.",veg,388,40
16,Prawn Biryani,"butter, garlic, lamb, oil, onion, pepper, prawns, rice","Step 1: mix the oil. Step 2: Add pepper and cook. Step 3: simmer and serve.",nonveg,591,60
17,Cheese Omelette,"butter, flour, ginger, oil, onion, pepper, rice, salt","Step 1: boil the butter. Step 2: Add pepper and cook. Step 3: boil and serve.",veg,386,40
18,Tofu Scramble,"carrot, cheese, flour, garlic, milk, oil, salt, sugar","Step 1: boil the flour. Step 2: Add garlic and cook. Step 3: slice and serve.",veg,497,30
19,Pork Chops with Apples,"flour, garlic, ginger, oil, onion, salt, sugar, turmeric","Step 1: boil the turmeric. Step 2: Add ginger and cook. Step 3: slice and serve.",nonveg,481,25
20,Lemon Herb Chicken,"carrot, chicken breast, coriander, egg, ginger, oil, potato, salt","Step 1: bake the ginger. Step 2: Add coriander and cook. Step 3: steam and serve.",nonveg,663,45
21,Apple Pie,"butter, egg, ginger, oil, onion, pasta, salt, sugar","Step 1: bake the butter. Step 2: Add pasta and cook. Step 3: fry and serve.",veg,553,25
22,Lamb Korma,"coriander, garlic, ginger, lamb, oil, onion, pepper, salt","Step 1: chop the oil. Step 2: Add ginger and cook. Step 3: cut and serve.",nonveg,707,35
23,Vegetable Curry,"cheese, egg, flour, garlic, oil, onion, salt, sugar","Step 1: steam the sugar. Step 2: Add garlic and cook. Step 3: bake and serve.",nonveg,512,35
24,Potato Salad,"carrot, cheese, flour, garlic, ginger, salt, sugar, turmeric","Step 1: steam the garlic. Step 2: Add carrot and cook. Step 3: cook and serve.",veg,568,30
25,Apple Pie,"butter, cumin, egg, garlic, oil, onion, potato, sugar","Step 1: chop the cumin. Step 2: Add potato and cook. Step 3: fry and serve.",veg,484,20
26,Spinach and Feta Quiche,"butter, carrot, cheese, coriander, egg, ginger, milk, salt","Step 1: cut the cheese. Step 2: Add milk and cook. Step 3: fry and serve.",nonveg,426,35
27,Pork Chops with Apples,"cumin, egg, ginger, oil, onion, pepper, pork, salt","Step 1: fry the oil. Step 2: Add ginger and cook. Step 3: cook and serve.",nonveg,688,25
28,Potato Salad,"egg, flour, milk, onion, pepper, rice, salt, sugar","Step 1: fry the pepper. Step 2: Add egg and cook. Step 3: simmer and serve.",nonveg,609,30
29,Lemon Herb Chicken,"carrot, cheese, chicken, cumin, oil, onion, pepper, salt","Step 1: slice the pepper. Step 2: Add carrot and cook. Step 3: chop and serve.",nonveg,570,35
30,Spicy Chicken Stir-fry,"chicken breast, egg, flour, garlic, ginger, oil, salt, tomato","Step 1: cook the ginger. Step 2: Add flour and cook. Step 3: slice and serve.",nonveg,567,60
31,Chocolate Chip Cookies,"butter, cheese, flour, milk, oil, onion, pepper, rice","Step 1: mix the pepper. Step 2: Add flour and cook. Step 3: slice and serve.",veg,789,35
32,Quinoa Salad,"butter, carrot, cheese, flour, garlic, pepper, rice, sugar","Step 1: slice the butter. Step 2: Add garlic and cook. Step 3: fry and serve.",veg,789,25
